time,aeration_rate,agitator,sugar_feed_rate,acid_flow_rate,base_flow_rate,heating/cooling_water_flow_rate,heating_water_flow_rate,water_for_injection/dilution,air_head_pressure,dumped_broth_flow,substrate_concentration,dissolved_oxygen_concentration,penicillin_concentration,vessel_volume,vessel_weight,pH,temperature,generated_heat,CO2_percent_in_off_gas,PAA_flow,PAA_concentration,oil_flow,NH3_concentration,oxygen_uptake_rate,oxygen_in_percent_in_off_gas,offline_penicillin_concentration,offline_biomass_concentration,carbon_evolution_rate,ammonia_shots,viscosity,Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),experiment_ID,Fault flag
0.2,30,100,8,0.0,0.0,0.0001,210.5,0,0.6,0,1.1732,14.656,0.001,58030,61610.0,6.5913,297.68,196.7,0.093895,5.0,,22,,0.22592,0.20076,,,0.035712,0,,0,1,1,46,46,0,46.0,0.0
0.4,30,100,8,0.0,0.0,0.0001,63.149,0,0.6,0,1.219,14.632,0.00099954,58028,61612.0,6.5667,297.89,251.32,0.10729,5.0,,22,,0.01066,0.20477,,,0.040809,0,,0,1,1,46,46,0,46.0,0.0
0.6,30,100,8,0.52312,0.0,0.0001,0.0001,0,0.6,0,1.2632,14.613,0.00099908,58025,61614.0,6.5426,297.87,246.65,0.11163,5.0,,22,,-0.034594,0.20561,,,0.042457,0,,0,1,1,46,46,0,46.0,0.0
0.8,30,100,8,0.0,0.0,0.0001,82.125,0,0.6,0,1.3057,14.595,0.00099861,58023,61616.0,6.5205,298.15,319.77,0.11415,5.0,,22,,-0.03991,0.2057,,,0.043417,0,,0,1,1,46,46,0,46.0,0.0
1.0,30,100,8,0.0,0.0,89.815,8.2125,0,0.6,0,1.3466,14.561,0.00099814,58020,61618.0,6.4993,298.04,290.52,0.11638,5.0,1418.2,22,1587.2,-0.028706,0.20549,0.001,0.57519,0.044266,0,4.0855,0,1,1,46,46,0,46.0,0.0
1.2,30,100,8,0.0,0.79206,55.399,0.82125,0,0.6,0,1.386,14.543,0.00099767,58017,61620.0,6.4801,297.95,268.88,0.11863,5.0,,22,,-0.020567,0.20533,,,0.045122,0,,0,1,1,46,46,0,46.0,0.0
1.4,30,100,8,0.0,9.2678,29.594,0.082125,0,0.6,0,1.4233,14.519,0.00099717,58017,61623.0,6.4721,297.91,256.64,0.12098,5.0,,22,,-0.011344,0.20515,,,0.046015,0,,0,1,1,46,46,0,46.0,0.0
1.6,30,100,8,0.0,20.904,8.8783,41.33,0,0.6,0,1.4588,14.497,0.00099662,58018,61629.0,6.4772,298.04,291.27,0.12343,5.0,,22,,-0.0017814,0.20497,,,0.046948,0,,0,1,1,46,46,0,46.0,0.0
1.8,30,100,8,0.0,30.516,50.56,4.133,0,0.6,0,1.4921,14.462,0.00099605,58022,61637.0,6.4919,297.98,275.89,0.12599,5.0,,22,,0.01248,0.2047,,,0.047921,0,,0,1,1,46,46,0,46.0,0.0
2.0,30,100,8,0.0,34.252,31.152,0.4133,0,0.6,0,1.5226,14.438,0.00099546,58026,61646.0,6.5104,297.94,265.83,0.12867,5.0,,22,,0.023311,0.20449,,,0.048941,0,,0,1,1,46,46,0,46.0,0.0
2.2,30,100,8,0.0,30.604,9.3457,39.393,0,0.6,0,1.5509,14.412,0.00099489,58029,61654.0,6.5254,298.07,301.01,0.13147,5.0,,22,,0.033709,0.20429,,,0.050006,0,,0,1,1,46,46,0,46.0,21073.0
2.4,30,100,8,0.0,20.976,52.949,3.9393,0,0.6,0,1.5767,14.38,0.00099435,58031,61660.0,6.5272,298.03,288.21,0.13438,5.0,,22,,0.04632,0.20405,,,0.051115,0,,0,1,1,46,46,0,46.0,22401.0
2.6,30,100,8,0.0,10.644,38.233,0.39393,0,0.6,0,1.5998,14.338,0.00099385,58030,61664.0,6.5146,297.99,278.56,0.13742,5.0,,22,,0.063479,0.20372,,,0.052272,0,,0,1,1,46,46,0,46.0,21064.0
