time,aeration_rate,agitator,sugar_feed_rate,acid_flow_rate,base_flow_rate,heating/cooling_water_flow_rate,heating_water_flow_rate,water_for_injection/dilution,air_head_pressure,dumped_broth_flow,substrate_concentration,dissolved_oxygen_concentration,penicillin_concentration,vessel_volume,vessel_weight,pH,temperature,generated_heat,CO2_percent_in_off_gas,PAA_flow,PAA_concentration,oil_flow,NH3_concentration,oxygen_uptake_rate,oxygen_in_percent_in_off_gas,offline_penicillin_concentration,offline_biomass_concentration,carbon_evolution_rate,ammonia_shots,viscosity,Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),experiment_ID,Fault flag
0.2,30,100,8,0.0,44.539,0.0001,73.04,0,0.6,0,0.90365,14.646,0.001,58168,62633.0,6.4253,297.87,62.881,0.08715,5.0,,22,,0.0082236,0.20486,,,0.033146,0,,0,0,1,16,16,0,16.0,0.0
0.4,30,100,8,0.0,74.43,0.0001,26.038,0,0.6,0,0.95018,14.627,0.00099927,58181,62650.0,6.484,297.94,81.401,0.098676,5.0,,22,,-0.056951,0.20605,,,0.03753,0,,0,0,1,16,16,0,16.0,0.0
0.6,30,100,8,0.0,81.153,0.0001,0.0001,0,0.6,0,0.99535,14.617,0.00099853,58194,62668.0,6.5454,297.92,75.898,0.10256,5.0,,22,,-0.07067,0.20629,,,0.039008,0,,0,0,1,16,16,0,16.0,0.0
0.8,30,100,8,0.0,63.518,0.0001,39.778,0,0.6,0,1.0389,14.591,0.00099785,58204,62682.0,6.5991,298.04,108.45,0.10492,5.0,,22,,-0.065358,0.20619,,,0.039907,0,,0,0,1,16,16,0,16.0,0.0
1.0,30,100,8,0.51595,31.759,39.049,3.9778,0,0.6,0,1.0813,14.559,0.00099728,58208,62690.0,6.6211,297.99,94.496,0.10704,5.0,1450.9,22,1708.9,-0.053549,0.20597,0.001,0.50608,0.040711,0,4.0819,0,0,1,16,16,0,16.0,0.0
1.2,30,100,8,1.0356,15.88,21.655,0.39778,0,0.6,0,1.1221,14.537,0.00099676,58209,62696.0,6.6185,297.95,83.865,0.10918,5.0,,22,,-0.04538,0.20581,,,0.041526,0,,0,0,1,16,16,0,16.0,0.0
1.4,30,100,8,1.5569,7.9398,6.4964,30.886,0,0.6,0,1.1611,14.513,0.00099627,58208,62699.0,6.6006,298.04,107.88,0.1114,5.0,,22,,-0.036735,0.20565,,,0.042371,0,,0,0,1,16,16,0,16.0,0.0
1.6,30,100,8,2.079,3.9699,35.797,3.0886,0,0.6,0,1.1979,14.473,0.00099578,58206,62702.0,6.5759,298.0,96.652,0.11373,5.0,,22,,-0.02144,0.20536,,,0.043257,0,,0,0,1,16,16,0,16.0,0.0
1.8,30,100,8,2.6012,1.9849,22.075,0.30886,0,0.6,0,1.2331,14.443,0.0009953,58205,62705.0,6.5488,297.97,88.507,0.11617,5.0,,22,,-0.0091371,0.20512,,,0.044185,0,,0,0,1,16,16,0,16.0,0.0
2.0,30,100,8,0.0,0.0,11.746,0.030886,0,0.6,0,1.266,14.422,0.00099484,58202,62707.0,6.524,297.95,84.475,0.11872,5.0,,22,,-0.0017769,0.20498,,,0.045157,0,,0,0,1,16,16,0,16.0,0.0
2.2,30,100,8,0.0,0.0,5.4879,0.0030886,0,0.6,0,1.2964,14.383,0.00099437,58199,62709.0,6.5005,297.95,83.467,0.1214,5.0,,22,,0.012208,0.20471,,,0.046175,0,,0,0,1,16,16,0,16.0,21906.0
2.4,30,100,8,0.0,0.33475,1.6464,13.504,0,0.6,0,1.324,14.357,0.00099391,58197,62710.0,6.4784,298.0,97.186,0.12419,5.0,,22,,0.02165,0.20453,,,0.047239,0,,0,0,1,16,16,0,16.0,22235.0
2.6,30,100,8,0.0,9.5112,17.354,1.3504,0,0.6,0,1.3496,14.323,0.0009934,58196,62714.0,6.4685,297.99,95.875,0.12711,5.0,,22,,0.033711,0.2043,,,0.048348,0,,0,0,1,16,16,0,16.0,21564.0
2.8,30,100,8,0.0,22.601,15.204,0.13504,0,0.6,0,1.3723,14.293,0.00099286,58198,62720.0,6.4737,297.99,94.636,0.13015,5.0,,22,,0.044044,0.2041,,,0.049503,0,,0,0,1,16,16,0,16.0,22226.0
3.0,30,100,8,0.0,33.603,13.384,0.013504,0,0.6,0,1.3927,14.263,0.00099228,58202,62729.0,6.4919,297.99,94.697,0.13331,5.0,,22,,0.054042,0.20391,,,0.050706,0,,0,0,1,16,16,0,16.0,20722.0
3.2,30,100,15,0.0,37.312,13.065,0.0013504,0,0.6,0,1.4246,14.239,0.00099166,58208,62740.0,6.5159,297.99,95.616,0.1366,5.0,,22,,0.060476,0.20378,,,0.051959,0,,0,0,1,16,16,0,16.0,21884.0
3.4,30,100,15,0.0,31.467,13.823,0.00013504,0,0.6,0,1.4544,14.19,0.00099106,58213,62750.0,6.5321,298.0,97.119,0.14002,5.0,,22,,0.077626,0.20345,,,0.053262,0,,0,0,1,16,16,0,16.0,21213.0
3.6,30,100,15,0.0,19.183,15.437,0.0001,0,0.6,0,1.4821,14.14,0.00099051,58215,62757.0,6.5306,298.01,99.146,0.14359,5.0,,22,,0.096287,0.2031,,,0.054618,0,,0,0,1,16,16,0,16.0,21708.0
3.8,30,100,15,0.0,7.5199,17.92,0.0001,0,0.6,0,1.5072,14.11,0.00099,58216,62762.0,6.5126,298.01,101.52,0.14728,5.0,,22,,0.10688,0.20289,,,0.056024,0,,0,0,1,16,16,0,16.0,21870.0
4.0,30,100,15,0.0,3.0732,21.117,0.0001,0,0.6,0,1.529,14.06,0.0009895,58215,62767.0,6.4888,298.02,104.26,0.15111,5.0,,22,,0.12368,0.20257,,,0.057482,0,,0,0,1,16,16,0,16.0,21365.0
4.2,30,100,15,0.0,8.0858,25.117,0.0001,0,0.6,0,1.5754,13.996,0.00098898,58215,62773.0,6.4719,298.04,107.62,0.1551,5.0,,30,,0.14135,0.20223,,,0.059,0,,0,0,1,16,16,0,16.0,21861.0
4.4,30,100,15,0.0,19.819,30.283,0.0001,0,0.6,0,1.6187,13.953,0.00098842,58218,62782.0,6.4699,298.05,110.88,0.15925,5.0,,30,,0.1569,0.20193,,,0.060576,0,,0,0,1,16,16,0,16.0,21856.0
4.6,30,100,15,0.0,32.344,35.769,0.0001,0,0.6,0,1.6581,13.891,0.00098782,58223,62794.0,6.4818,298.06,114.17,0.16356,5.0,,30,,0.17844,0.20152,,,0.062217,0,,0,0,1,16,16,0,16.0,21852.0
